role,skills
Frontend Developer,html css javascript react typescript redux figma ui design responsive animations
Backend Developer,python java nodejs sql rest api postgresql mongodb express spring boot authentication
Full Stack Developer,html css javascript react nodejs python sql mongodb rest api git deployment
Data Scientist,python machine learning sql statistics data analysis tensorflow pandas numpy scipy visualization
DevOps Engineer,aws docker kubernetes cicd linux git terraform jenkins shell scripting automation
Cloud Architect,aws azure gcp cloud computing docker kubernetes networking security infrastructure iac
ML Engineer,python machine learning tensorflow pytorch deep learning neural networks optimization algorithms
Mobile Developer,flutter react native android ios java swift kotlin firebase push notifications
Cybersecurity Analyst,security networking linux python encryption ethical hacking firewalls vulnerability penetration
Data Analyst,sql excel power bi tableau data analysis statistics python reporting dashboards
System Administrator,linux networking windows server shell scripting automation bash it support monitoring
Database Administrator,sql postgresql mysql mongodb oracle database design query optimization indexing backup
AI Engineer,python machine learning deep learning nlp computer vision tensorflow pytorch langchain openai
Blockchain Developer,solidity web3 ethereum smart contracts cryptography javascript typescript dapp
Embedded Systems Engineer,c cpp arduino raspberry pi microcontrollers iot hardware firmware sensors
Game Developer,unity c++ c# unreal engine opengl physics animation 3d modeling shaders
QA Engineer,testing automation selenium pytest junit bug tracking ci pipeline quality assurance
NLP Engineer,python nlp text processing transformers bert spacy nltk sentiment classification
Computer Vision Engineer,python opencv deep learning image processing tensorflow pytorch cnn object detection
Site Reliability Engineer,linux cloud monitoring sre kubernetes prometheus grafana incident response automation
